,Streams,index,Artist,URL,id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Score
0,262928,190,Black M,https://open.spotify.com/track/4T7fVWFjYNwkuCKRpKXVeB,4T7fVWFjYNwkuCKRpKXVeB,0.0156,https://api.spotify.com/v1/audio-analysis/4T7fVWFjYNwkuCKRpKXVeB,0.7,233147,0.807,0.0,11,0.141,-6.051,0,0.124,128.02200000000002,4,https://api.spotify.com/v1/tracks/4T7fVWFjYNwkuCKRpKXVeB,audio_features,spotify:track:4T7fVWFjYNwkuCKRpKXVeB,0.713,0.09178917174614558
1,174907,72709,Sofiane,https://open.spotify.com/track/5O15xPvlUyf6WYJqNP96vc,5O15xPvlUyf6WYJqNP96vc,0.47600000000000003,https://api.spotify.com/v1/audio-analysis/5O15xPvlUyf6WYJqNP96vc,0.852,160467,0.9179999999999999,0.0,10,0.0797,-4.503,0,0.21899999999999997,111.985,4,https://api.spotify.com/v1/tracks/5O15xPvlUyf6WYJqNP96vc,audio_features,spotify:track:5O15xPvlUyf6WYJqNP96vc,0.45,0.0463821892393321
2,325185,65822,Dadju,https://open.spotify.com/track/3fcTVjJlO03A1jKdAW9tc2,3fcTVjJlO03A1jKdAW9tc2,0.593,https://api.spotify.com/v1/audio-analysis/3fcTVjJlO03A1jKdAW9tc2,0.812,226547,0.473,0.0,1,0.0781,-9.812999999999999,0,0.0676,123.95299999999999,4,https://api.spotify.com/v1/tracks/3fcTVjJlO03A1jKdAW9tc2,audio_features,spotify:track:3fcTVjJlO03A1jKdAW9tc2,0.354,0.06498388829215897
3,56854,67220,Hayce Lemsi,https://open.spotify.com/track/3SKFWl4dZx4WOiQxsbRWur,3SKFWl4dZx4WOiQxsbRWur,0.358,https://api.spotify.com/v1/audio-analysis/3SKFWl4dZx4WOiQxsbRWur,0.7609999999999999,253861,0.7659999999999999,1.29e-05,7,0.20800000000000002,-5.445,1,0.40399999999999997,121.76100000000001,4,https://api.spotify.com/v1/tracks/3SKFWl4dZx4WOiQxsbRWur,audio_features,spotify:track:3SKFWl4dZx4WOiQxsbRWur,0.359,0.0113314447592068
4,20584,8873,Bryan Adams,https://open.spotify.com/track/76qB2ZEZlEJAMqMqUjKusp,76qB2ZEZlEJAMqMqUjKusp,0.0752,https://api.spotify.com/v1/audio-analysis/76qB2ZEZlEJAMqMqUjKusp,0.52,393640,0.363,1.13e-05,1,0.0609,-12.655,1,0.0286,131.224,4,https://api.spotify.com/v1/tracks/76qB2ZEZlEJAMqMqUjKusp,audio_features,spotify:track:76qB2ZEZlEJAMqMqUjKusp,0.273,0.006134969325153374
5,20772,55266,Sampha,https://open.spotify.com/track/5zOnoB8FdZudDcPX4O8WqF,5zOnoB8FdZudDcPX4O8WqF,0.976,https://api.spotify.com/v1/audio-analysis/5zOnoB8FdZudDcPX4O8WqF,0.621,218160,0.19899999999999998,0.00186,10,0.107,-13.788,1,0.0344,128.905,4,https://api.spotify.com/v1/tracks/5zOnoB8FdZudDcPX4O8WqF,audio_features,spotify:track:5zOnoB8FdZudDcPX4O8WqF,0.17800000000000002,0.005291005291005291
6,225062,49709,Bebe Rexha,https://open.spotify.com/track/22BH6K8RlpwNzIINvWS4Jj,22BH6K8RlpwNzIINvWS4Jj,0.0281,https://api.spotify.com/v1/audio-analysis/22BH6K8RlpwNzIINvWS4Jj,0.61,181674,0.731,0.0,8,0.272,-5.187,1,0.11599999999999999,97.935,4,https://api.spotify.com/v1/tracks/22BH6K8RlpwNzIINvWS4Jj,audio_features,spotify:track:22BH6K8RlpwNzIINvWS4Jj,0.7240000000000001,0.058257101588830046
7,289527,48446,Taylor Swift,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2,7zgqtptZvhf8GEmdsM2vp2,0.0665,https://api.spotify.com/v1/audio-analysis/7zgqtptZvhf8GEmdsM2vp2,0.615,208198,0.779,0.0,2,0.155,-6.454,1,0.135,160.0,4,https://api.spotify.com/v1/tracks/7zgqtptZvhf8GEmdsM2vp2,audio_features,spotify:track:7zgqtptZvhf8GEmdsM2vp2,0.45299999999999996,0.08467459762071379
8,4353026,27446,Logic,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,5tz69p7tJuGPeMGwNTxYuV,0.57,https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV,0.62,250173,0.574,0.0,5,0.19,-7.787999999999999,0,0.0479,100.021,4,https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV,audio_features,spotify:track:5tz69p7tJuGPeMGwNTxYuV,0.35200000000000004,1.2298629786144193
9,3176764,25450,DTF,https://open.spotify.com/track/6ZvHhCEzcmmyjlFVmPjb4a,6ZvHhCEzcmmyjlFVmPjb4a,0.7759999999999999,https://api.spotify.com/v1/audio-analysis/6ZvHhCEzcmmyjlFVmPjb4a,0.789,229535,0.682,0.0,10,0.102,-6.497000000000001,1,0.10800000000000001,104.977,4,https://api.spotify.com/v1/tracks/6ZvHhCEzcmmyjlFVmPjb4a,audio_features,spotify:track:6ZvHhCEzcmmyjlFVmPjb4a,0.34299999999999997,0.9215801119354419
