,Streams,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Score,duration
0,256104,0.131,0.748,0.627,0.0,7,0.0852,-6.029,1,0.0644,120.963,4,0.524,-0.1040099042135719,188.0
1,25863,0.442,0.603,0.5379999999999999,4.89e-05,2,0.101,-8.948,1,0.232,128.359,5,0.339,-1.2967247214501678,215.0
2,12040244,0.491,0.784,0.7,0.0,7,0.108,-7.649,0,0.108,82.02799999999998,4,0.769,1.8827050765359135,190.0
3,3625722,0.0565,0.753,0.718,1.25e-05,11,0.107,-6.485,1,0.131,160.055,4,0.6509999999999999,1.2462404623658798,218.0
4,6443571,0.163,0.8759999999999999,0.669,0.0,11,0.185,-6.0539999999999985,0,0.138,124.007,4,0.682,1.5426671614940486,214.0
5,15033,0.057,0.773,0.8490000000000001,0.0103,8,0.397,-8.345,0,0.0587,119.981,4,0.913,-1.4963176834109837,192.0
6,22057,0.512,0.648,0.759,2.65e-06,3,0.109,-6.523,1,0.153,119.772,4,0.425,-1.4291955547375477,256.0
7,205826,0.1,0.718,0.7829999999999999,0.0,5,0.14800000000000002,-4.5680000000000005,0,0.0658,155.093,4,0.652,-0.3062624701431472,166.0
8,30682,0.211,0.7509999999999999,0.698,5.15e-05,8,0.13,-4.41,1,0.053,120.001,4,0.345,-1.3990666729118708,275.0
9,218535,0.0814,0.732,0.7170000000000001,3.5700000000000014e-05,0,0.361,-5.324,1,0.13,98.476,4,0.642,-0.27963503977044885,237.0
10,13527575,0.511,0.647,0.7,3.96e-05,7,0.08800000000000001,-9.007,0,0.0562,176.122,4,0.949,2.2437160907394724,202.0
11,146426,0.128,0.919,0.879,0.0,1,0.0874,-4.28,1,0.29100000000000004,114.045,4,0.5710000000000001,-0.26549272040854893,155.0
12,1896694,0.108,0.861,0.7759999999999999,0.0,0,0.201,-4.6160000000000005,1,0.185,120.972,4,0.7020000000000001,0.8721475337494162,193.0
13,464436,0.0178,0.595,0.662,0.0,11,0.0804,-6.858,0,0.0362,96.053,4,0.417,0.23318071110485397,218.0
14,1583694,0.0592,0.49,0.485,0.0,4,0.337,-6.237,0,0.0406,133.889,4,0.196,0.8753518714583145,196.0
15,3091710,0.0063100000000000005,0.6990000000000001,0.6679999999999999,0.00011,9,0.12,-7.126,0,0.034,120.0,4,0.431,1.2667298022983893,175.0
16,1119632,0.00325,0.5920000000000001,0.632,1.27e-06,0,0.116,-6.229,1,0.0766,105.734,4,0.229,0.7456866062750455,177.0
17,166604,0.0113,0.7440000000000001,0.821,0.0,7,0.259,-3.009,1,0.161,145.982,4,0.762,-0.5143457832990861,253.0
18,129683,0.0621,0.617,0.4920000000000001,0.0,10,0.484,-7.587999999999999,0,0.448,141.953,4,0.208,-0.011422037029590796,219.0
19,4842310,0.45,0.898,0.6729999999999999,1.05e-05,9,0.0463,-6.057,0,0.332,124.08,4,0.45,1.3203828544521294,163.0
20,263589,0.193,0.6779999999999999,0.562,0.0,3,0.104,-9.197,0,0.508,94.241,4,0.5660000000000001,-0.022071125071688628,308.0
21,4298275,0.328,0.762,0.7290000000000001,1.9e-05,0,0.111,-4.1789999999999985,1,0.0432,138.976,4,0.458,1.7252834124454066,211.0
22,138454,0.6970000000000001,0.853,0.625,0.0,7,0.121,-7.091,1,0.317,120.002,4,0.6459999999999999,-0.3827443154127979,181.0
23,3089139,0.405,0.752,0.861,1.78e-06,8,0.0597,-3.471,0,0.209,121.003,4,0.677,1.197251149888371,100.0
24,4939352,0.47,0.779,0.7240000000000001,0.0,9,0.14300000000000002,-7.574,0,0.312,113.065,4,0.5589999999999999,2.23413087036051,187.0
25,46896,0.273,0.7809999999999999,0.57,0.0,11,0.196,-5.874,0,0.188,107.059,4,0.858,-0.8629609370413697,193.0
26,193288,0.6890000000000001,0.519,0.461,0.0,5,0.29,-9.525,1,0.0337,79.036,4,0.361,-0.4298107088362511,211.0
27,14587,0.0241,0.733,0.818,0.0,10,0.0636,-7.222,0,0.0859,116.019,4,0.253,-1.524213712573264,232.0
28,351009,0.0911,0.754,0.82,0.0,6,0.151,-4.729,0,0.387,107.812,4,0.389,-0.021066859364779082,206.0
29,2292930,0.5,0.6759999999999999,0.693,0.0,10,0.0792,-4.628,1,0.0446,103.913,4,0.481,1.0640278997253376,204.0
30,73373,0.446,0.7559999999999999,0.7809999999999999,1.06e-05,11,0.14300000000000002,-4.434,1,0.0693,108.02,4,0.8,-0.6828772553608539,203.0
31,21353,0.00124,0.551,0.8690000000000001,3.03e-05,9,0.16399999999999998,-5.043,1,0.0606,121.91,4,0.297,-1.3560132083585408,249.0
32,99896,0.233,0.787,0.6679999999999999,0.0,4,0.0943,-4.379,0,0.04,140.023,4,0.16699999999999998,-0.7510634791534956,205.0
33,132404,0.209,0.8420000000000001,0.777,8.67e-06,6,0.229,-3.869,0,0.226,120.081,4,0.7509999999999999,-0.45173005419147977,207.0
34,28733,0.079,0.794,0.537,4.98e-06,7,0.227,-6.865,1,0.16899999999999998,92.022,4,0.418,-1.4025006389972339,210.0
35,171000,0.213,0.925,0.716,0.00218,7,0.0713,-3.443,1,0.122,105.997,4,0.672,-0.4244799994551878,185.0
36,1423882,0.196,0.769,0.6809999999999999,0.0,0,0.151,-5.316,1,0.0576,120.045,4,0.821,0.7578409679854984,182.0
37,20833,0.637,0.713,0.732,0.0,9,0.113,-6.027,0,0.281,124.545,4,0.403,-1.5402691242118762,231.0
38,5238939,0.0545,0.623,0.654,0.0,0,0.0838,-5.675,0,0.0372,95.921,4,0.401,1.5579189498145933,220.0
39,266995,0.444,0.831,0.7090000000000001,0.0,7,0.638,-3.681,1,0.14400000000000002,101.01,4,0.7909999999999999,-0.06617588522498269,175.0
40,23152,0.484,0.8290000000000001,0.5710000000000001,0.0,11,0.102,-9.953,0,0.246,132.726,4,0.7040000000000001,-1.3815530376703764,147.0
41,627859,0.365,0.389,0.483,0.0,2,0.0993,-7.185,0,0.0309,78.59899999999998,3,0.38,0.11107338441965225,288.0
42,24831,0.00929,0.8,0.685,5.94e-05,2,0.185,-5.324,1,0.0296,108.404,4,0.542,-1.4788427594337696,251.0
43,68164,0.634,0.5660000000000001,0.664,0.0,4,0.116,-5.303,0,0.0464,128.945,4,0.4370000000000001,-0.8413549645416655,242.0
44,2373500,0.0933,0.795,0.809,0.0,1,0.113,-6.565,0,0.336,119.978,4,0.7609999999999999,0.8574516806356322,194.0
45,4917900,0.451,0.873,0.782,0.0,5,0.136,-3.828,1,0.343,129.94799999999998,4,0.833,1.5532943882498764,223.0
46,114680,0.0892,0.6809999999999999,0.426,3.65e-06,10,0.146,-10.759,0,0.0936,81.02,4,0.545,-0.6519592127897579,184.0
47,31523,0.03,0.649,0.552,6.47e-06,1,0.111,-5.419,0,0.0292,89.969,4,0.158,-1.1422877127415154,254.0
48,251776,0.0232,0.8,0.6679999999999999,0.0,2,0.28,-5.68,1,0.0985,137.916,4,0.314,-0.10004109113906166,186.0
49,220277,0.101,0.898,0.765,0.0,1,0.0953,-4.789,1,0.265,112.099,4,0.341,-0.15053924732698334,202.0
50,1717682,0.18600000000000005,0.6759999999999999,0.929,0.000405,10,0.121,-3.194,1,0.0458,97.019,4,0.157,0.9993240313321686,161.0
51,4195101,0.013,0.853,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86,1.3627571427513803,207.0
52,52729,0.26,0.763,0.7,0.0222,0,0.217,-7.801,1,0.0565,106.931,4,0.8079999999999999,-0.9304281020103212,203.0
53,617164,0.244,0.675,0.633,0.0,0,0.116,-7.68,0,0.0672,144.986,4,0.556,0.35789815719332174,216.0
54,3003249,0.0375,0.746,0.877,0.000833,9,0.233,-3.782,0,0.0666,107.985,4,0.7509999999999999,1.20419692437255,166.0
