,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.0156,https://api.spotify.com/v1/audio-analysis/4T7fVWFjYNwkuCKRpKXVeB,0.7,233147,0.807,4T7fVWFjYNwkuCKRpKXVeB,0.0,11,0.141,-6.051,0,0.124,128.022,4,https://api.spotify.com/v1/tracks/4T7fVWFjYNwkuCKRpKXVeB,audio_features,spotify:track:4T7fVWFjYNwkuCKRpKXVeB,0.713
1,0.476,https://api.spotify.com/v1/audio-analysis/5O15xPvlUyf6WYJqNP96vc,0.852,160467,0.918,5O15xPvlUyf6WYJqNP96vc,0.0,10,0.0797,-4.503,0,0.219,111.985,4,https://api.spotify.com/v1/tracks/5O15xPvlUyf6WYJqNP96vc,audio_features,spotify:track:5O15xPvlUyf6WYJqNP96vc,0.45
2,0.593,https://api.spotify.com/v1/audio-analysis/3fcTVjJlO03A1jKdAW9tc2,0.812,226547,0.473,3fcTVjJlO03A1jKdAW9tc2,0.0,1,0.0781,-9.813,0,0.0676,123.953,4,https://api.spotify.com/v1/tracks/3fcTVjJlO03A1jKdAW9tc2,audio_features,spotify:track:3fcTVjJlO03A1jKdAW9tc2,0.354
3,0.358,https://api.spotify.com/v1/audio-analysis/3SKFWl4dZx4WOiQxsbRWur,0.761,253861,0.766,3SKFWl4dZx4WOiQxsbRWur,1.29e-05,7,0.208,-5.445,1,0.404,121.761,4,https://api.spotify.com/v1/tracks/3SKFWl4dZx4WOiQxsbRWur,audio_features,spotify:track:3SKFWl4dZx4WOiQxsbRWur,0.359
4,0.0752,https://api.spotify.com/v1/audio-analysis/76qB2ZEZlEJAMqMqUjKusp,0.52,393640,0.363,76qB2ZEZlEJAMqMqUjKusp,1.13e-05,1,0.0609,-12.655,1,0.0286,131.224,4,https://api.spotify.com/v1/tracks/76qB2ZEZlEJAMqMqUjKusp,audio_features,spotify:track:76qB2ZEZlEJAMqMqUjKusp,0.273
5,0.976,https://api.spotify.com/v1/audio-analysis/5zOnoB8FdZudDcPX4O8WqF,0.621,218160,0.199,5zOnoB8FdZudDcPX4O8WqF,0.00186,10,0.107,-13.788,1,0.0344,128.905,4,https://api.spotify.com/v1/tracks/5zOnoB8FdZudDcPX4O8WqF,audio_features,spotify:track:5zOnoB8FdZudDcPX4O8WqF,0.178
6,0.0281,https://api.spotify.com/v1/audio-analysis/22BH6K8RlpwNzIINvWS4Jj,0.61,181674,0.731,22BH6K8RlpwNzIINvWS4Jj,0.0,8,0.272,-5.187,1,0.116,97.935,4,https://api.spotify.com/v1/tracks/22BH6K8RlpwNzIINvWS4Jj,audio_features,spotify:track:22BH6K8RlpwNzIINvWS4Jj,0.724
7,0.0665,https://api.spotify.com/v1/audio-analysis/7zgqtptZvhf8GEmdsM2vp2,0.615,208198,0.779,7zgqtptZvhf8GEmdsM2vp2,0.0,2,0.155,-6.454,1,0.135,160.0,4,https://api.spotify.com/v1/tracks/7zgqtptZvhf8GEmdsM2vp2,audio_features,spotify:track:7zgqtptZvhf8GEmdsM2vp2,0.453
8,0.57,https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV,0.62,250173,0.574,5tz69p7tJuGPeMGwNTxYuV,0.0,5,0.19,-7.788,0,0.0479,100.021,4,https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV,audio_features,spotify:track:5tz69p7tJuGPeMGwNTxYuV,0.352
9,0.776,https://api.spotify.com/v1/audio-analysis/6ZvHhCEzcmmyjlFVmPjb4a,0.789,229535,0.682,6ZvHhCEzcmmyjlFVmPjb4a,0.0,10,0.102,-6.497,1,0.108,104.977,4,https://api.spotify.com/v1/tracks/6ZvHhCEzcmmyjlFVmPjb4a,audio_features,spotify:track:6ZvHhCEzcmmyjlFVmPjb4a,0.343
10,0.18,https://api.spotify.com/v1/audio-analysis/6xqAP7kpdgCy8lERQHh29c,0.734,153840,0.844,6xqAP7kpdgCy8lERQHh29c,0.0175,0,0.114,-4.178,1,0.0585,143.936,4,https://api.spotify.com/v1/tracks/6xqAP7kpdgCy8lERQHh29c,audio_features,spotify:track:6xqAP7kpdgCy8lERQHh29c,0.258
11,0.15,https://api.spotify.com/v1/audio-analysis/0LpNLPdGvZLATY6JgdbQzk,0.85,294200,0.925,0LpNLPdGvZLATY6JgdbQzk,0.0,7,0.06,-4.209,0,0.0862,119.042,4,https://api.spotify.com/v1/tracks/0LpNLPdGvZLATY6JgdbQzk,audio_features,spotify:track:0LpNLPdGvZLATY6JgdbQzk,0.882
12,0.173,https://api.spotify.com/v1/audio-analysis/6X3U6O4adFSanohAaUxViv,0.813,211400,0.69,6X3U6O4adFSanohAaUxViv,0.00185,5,0.213,-6.197,0,0.179,112.015,4,https://api.spotify.com/v1/tracks/6X3U6O4adFSanohAaUxViv,audio_features,spotify:track:6X3U6O4adFSanohAaUxViv,0.184
13,0.452,https://api.spotify.com/v1/audio-analysis/6DOYcyXlutuZ807npR9T3E,0.829,197520,0.305,6DOYcyXlutuZ807npR9T3E,0.0,8,0.167,-13.368,1,0.332,137.042,4,https://api.spotify.com/v1/tracks/6DOYcyXlutuZ807npR9T3E,audio_features,spotify:track:6DOYcyXlutuZ807npR9T3E,0.248
14,0.162,https://api.spotify.com/v1/audio-analysis/2om7S1vVngM5vDO6tLufdj,0.874,188547,0.907,2om7S1vVngM5vDO6tLufdj,4.68e-05,4,0.117,-5.004,0,0.0737,122.057,4,https://api.spotify.com/v1/tracks/2om7S1vVngM5vDO6tLufdj,audio_features,spotify:track:2om7S1vVngM5vDO6tLufdj,0.658
